"Make","Model","Variant","Color","Year","Status","Base","Additional","Total","Notes","URL"
"Mazda","RX-7 FC3S","Base","White","2019","parked","4","2","6","","https://www.google.dk/maps/place/Okudo+Central+Pharmacy/@35.7283061,139.8388899,3a,60.4y,339.21h,74.29t/data=!3m8!1e1!3m6!1sLQwLmoxLqe8TCsr5t0Gv6Q!2e0!5s20190201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D15.705885705893095%26panoid%3DLQwLmoxLqe8TCsr5t0Gv6Q%26yaw%3D339.20705414508996!7i16384!8i8192!4m6!3m5!1s0x601885f676de179d:0xfaefc7c251c04518!8m2!3d35.7357574!4d139.8564417!16s%2Fg%2F1q64jk081?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R33","Autech 4-door GT-R","Purple","2016","parked","9","8","17","","https://www.google.dk/maps/@35.6520781,139.6679839,3a,34.3y,238.9h,73.9t/data=!3m8!1e1!3m6!1swnelPRxkqO6tfzJGQ0Eh9g!2e0!5s20160301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D16.09610534153218%26panoid%3DwnelPRxkqO6tfzJGQ0Eh9g%26yaw%3D238.89817214896595!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D"
"Honda","Civic FD","FD2 Type R","White","2010","driving","5","1","6","","https://www.google.dk/maps/@35.4149802,139.498836,3a,41.2y,342.64h,73.43t/data=!3m8!1e1!3m6!1sbziNjp9XUGpaCgYHdgTgmQ!2e0!5s20100901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D16.56871543968795%26panoid%3DbziNjp9XUGpaCgYHdgTgmQ%26yaw%3D342.642542854537!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D"
"Nissan","350Z","Base","Black","2017","driving","3","2","5","","https://www.google.dk/maps/@35.4445251,139.6318062,3a,28.4y,282.85h,81.33t/data=!3m8!1e1!3m6!1sQzT4XTcG-VvcstfejDDitg!2e0!5s20170801T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.670057574841294%26panoid%3DQzT4XTcG-VvcstfejDDitg%26yaw%3D282.85491135310195!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Silvia S13","K's","Gold","2009","parked","6","1","7","","https://www.google.dk/maps/@35.5956823,139.5865443,3a,34.3y,231.14h,81.93t/data=!3m8!1e1!3m6!1s5b575doN6oqVVJQdeScO-Q!2e0!5s20090801T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.066931328935937%26panoid%3D5b575doN6oqVVJQdeScO-Q%26yaw%3D231.1404563475751!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
"Volkswagen","Golf III","VR6","Black","2015","parked","6","0","6","","https://www.google.dk/maps/@35.6586207,139.6292149,3a,37.9y,157.02h,74.82t/data=!3m8!1e1!3m6!1sihDoyMDbFCucMlnK91gV3A!2e0!5s20150401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D15.176963551458996%26panoid%3DihDoyMDbFCucMlnK91gV3A%26yaw%3D157.01741029865312!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxNy4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R32","GT-R","White","2019","parked","7","1","8","","https://www.google.dk/maps/@35.6605929,139.6309572,3a,36.7y,210.21h,73.41t/data=!3m8!1e1!3m6!1s7GJs8osGSrOd3YHAXEGDlQ!2e0!5s20190301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D16.59179836021758%26panoid%3D7GJs8osGSrOd3YHAXEGDlQ%26yaw%3D210.20533624517853!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxNy4wIKXMDSoASAFQAw%3D%3D"
"BMW","E60","M5","White","2009","driving","6","0","6","","https://www.google.dk/maps/@35.5682722,139.7378949,3a,72.2y,311.97h,67.53t/data=!3m8!1e1!3m6!1sdl13Ug_1eonj0htKmRFqHA!2e0!5s20091201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D22.467818043468043%26panoid%3Ddl13Ug_1eonj0htKmRFqHA%26yaw%3D311.97288929354147!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxNS4wIKXMDSoASAFQAw%3D%3D"
"Hummer","H1","Base","Beige","2022","parked","7","0","7","","https://www.google.dk/maps/@35.5728575,139.7280717,3a,68.1y,123.68h,81.48t/data=!3m7!1e1!3m5!1sziybTFtw_PSZJMlgasjoFg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.516673407366241%26panoid%3DziybTFtw_PSZJMlgasjoFg%26yaw%3D123.68486652355008!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxNS4wIKXMDSoASAFQAw%3D%3D"
"Mazda","RX-7 FD3S","Base","Silver","2016","driving","6","4","10","","https://www.google.dk/maps/@35.4376031,139.620593,3a,15.1y,71.67h,86.26t/data=!3m8!1e1!3m6!1sTmxCoC8TcB8LmvwfKjc0Mw!2e0!5s20160501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.74408281290016%26panoid%3DTmxCoC8TcB8LmvwfKjc0Mw%26yaw%3D71.66638031627534!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxNS4wIKXMDSoASAFQAw%3D%3D"
"Toyota","JZX100","Mk. IV","Red","2018","parked","2","5","7","","https://www.google.dk/maps/@35.3903154,139.4651446,3a,22.1y,31.92h,84.46t/data=!3m8!1e1!3m6!1scb7vjBYKVopUvYrsJVEWrA!2e0!5s20181001T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.5366176341778015%26panoid%3Dcb7vjBYKVopUvYrsJVEWrA%26yaw%3D31.91868507764715!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxNS4wIKXMDSoASAFQAw%3D%3D"
