"Make","Model","Variant","Color","Year","Status","Base","Additional","Total","Notes","URL"
"Nissan","Skyline R30","2000 RS-X Turbo","Grey","2009","parked","7","0","7","","https://www.google.dk/maps/@35.694105,139.5058713,3a,34.3y,229.51h,74.54t/data=!3m8!1e1!3m6!1saBSn9f5fb-ba8D9-Zj0Gug!2e0!5s20090701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D15.458078891055777%26panoid%3DaBSn9f5fb-ba8D9-Zj0Gug%26yaw%3D229.51408415519649!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDUxMi4wIKXMDSoASAFQAw%3D%3D"
"Mitsubishi","Lancer Evolution","VII","Yellow","2014","parked","6","0","6","","https://www.google.dk/maps/@35.7717277,139.6007777,3a,41.2y,293.36h,76.33t/data=!3m8!1e1!3m6!1sQlHXZboPRV3c7IeNYiO9Ow!2e0!5s20140401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D13.667172065981404%26panoid%3DQlHXZboPRV3c7IeNYiO9Ow%26yaw%3D293.356869990183!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Chevrolet","Corvette C6","Z06","Yellow","2015","parked","6","0","6","","https://www.google.dk/maps/@35.7730518,139.5970373,3a,16.5y,28.74h,85.2t/data=!3m8!1e1!3m6!1scJ6JBDhYOztyI-RhcyGjWA!2e0!5s20150401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D4.801010415259995%26panoid%3DcJ6JBDhYOztyI-RhcyGjWA%26yaw%3D28.738383733338434!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R34","GT-R","White","2014","parked","8","0","8","","https://www.google.dk/maps/@35.7730538,139.5970445,3a,15y,20.62h,86.87t/data=!3m8!1e1!3m6!1s50hojZV-uurlM4b3tPwcjw!2e0!5s20140401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.132077014854289%26panoid%3D50hojZV-uurlM4b3tPwcjw%26yaw%3D20.620713047369776!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Nissan","180SX","Type X","Black","2021","parked","4","0","4","","https://www.google.dk/maps/@35.7730501,139.5970362,3a,18.1y,34.73h,85t/data=!3m8!1e1!3m6!1s2DrUnaOeaH8P5S-6kPqPYQ!2e0!5s20210401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.003246360365878%26panoid%3D2DrUnaOeaH8P5S-6kPqPYQ%26yaw%3D34.729248347196325!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Subaru","Impreza Blobeye","WRX STi","Blue","2019","parked","6","0","6","","https://www.google.dk/maps/@35.7709534,139.6052092,3a,18.1y,270.2h,84.05t/data=!3m8!1e1!3m6!1syCJARy_zfqKw9CAEOjC7Yw!2e0!5s20190901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.950353373436755%26panoid%3DyCJARy_zfqKw9CAEOjC7Yw%26yaw%3D270.20435133293927!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
"Nissan","GT-R","R35","White","2014","parked","7","0","7","","https://www.google.dk/maps/@35.7468713,139.6161389,3a,42.5y,183.62h,80.99t/data=!3m7!1e1!3m5!1siV-qQLLLt1o0a5ySTitBwA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D9.00751761104111%26panoid%3DiV-qQLLLt1o0a5ySTitBwA%26yaw%3D183.62054147493117!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
"BMW","E36","M3","Red","2021","parked","5","0","5","","https://www.google.dk/maps/@35.7482012,139.6158499,3a,30.6y,325.16h,84.66t/data=!3m7!1e1!3m5!1sFfIGi56ZrqdEOe9doYSa9A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.339431704322493%26panoid%3DFfIGi56ZrqdEOe9doYSa9A%26yaw%3D325.16492765182403!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Silvia S13","Base","White","2010","parked","5","0","5","","https://www.google.dk/maps/@35.5672862,139.3880096,3a,39.3y,87.29h,70.99t/data=!3m8!1e1!3m6!1sh6WCDo56it2x5HmB01pt1Q!2e0!5s20101101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D19.012288987912868%26panoid%3Dh6WCDo56it2x5HmB01pt1Q%26yaw%3D87.28796724913389!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoASAFQAw%3D%3D"
"Mitsubishi","Lancer Evolution","VIII","Yellow","2010","parked","6","0","6","","https://www.google.dk/maps/@35.5684326,139.388837,3a,31.3y,8.11h,82.49t/data=!3m8!1e1!3m6!1sQ3-eOvvuVzfgekDCmNhabQ!2e0!5s20101101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D7.507859765847726%26panoid%3DQ3-eOvvuVzfgekDCmNhabQ%26yaw%3D8.109008009240124!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic EK","EK9 Type R","White","2014","parked","6","0","6","","https://www.google.dk/maps/@35.2739506,139.6763065,3a,28.2y,101.97h,81.21t/data=!3m8!1e1!3m6!1sT4drj9zwgmKo2SSxiZ8jHw!2e0!5s20140301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.793022271665663%26panoid%3DT4drj9zwgmKo2SSxiZ8jHw%26yaw%3D101.97298583344588!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Silvia S13","K's","Green","2009","parked","6","0","6","","https://www.google.dk/maps/@35.6486923,139.8877346,3a,15.5y,3.91h,85.25t/data=!3m8!1e1!3m6!1spQp3zYgyR_6tZfthfuqpIA!2e0!5s20091101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D4.754254837842353%26panoid%3DpQp3zYgyR_6tZfthfuqpIA%26yaw%3D3.907616146005725!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIyMy4xIKXMDSoASAFQAw%3D%3D"
"Honda","Civic EP","EP3 Type R","White","2019","parked","7","0","7","","https://www.google.dk/maps/@35.6487345,139.8876344,3a,41.1y,341.94h,78.75t/data=!3m8!1e1!3m6!1soR12g5QQOEk4j0L9wMq-kQ!2e0!5s20190601T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D11.250988378442003%26panoid%3DoR12g5QQOEk4j0L9wMq-kQ%26yaw%3D341.93675259445354!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIyMy4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Silvia S13","Base","Black","2010","parked","5","1","6","","https://www.google.dk/maps/@35.5959909,139.367782,3a,28.8y,255.94h,81.04t/data=!3m8!1e1!3m6!1stt6YljUG2xSqJUhxxgLGjQ!2e0!5s20100301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.960011067271964%26panoid%3Dtt6YljUG2xSqJUhxxgLGjQ%26yaw%3D255.9370729870365!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIyMy4xIKXMDSoASAFQAw%3D%3D"
"Subaru","Impreza Hawkeye","WRX STi","Black","2020","parked","6","0","6","","https://www.google.dk/maps/@35.5963168,139.3673645,3a,46.9y,236.84h,77.33t/data=!3m8!1e1!3m6!1sn8NEOOn5jPhLxPGbGleRiA!2e0!5s20200301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D12.66906971134857%26panoid%3Dn8NEOOn5jPhLxPGbGleRiA%26yaw%3D236.84064854667338!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIyMy4xIKXMDSoASAFQAw%3D%3D"
"Mitsubishi","Lancer Evolution","IX Wagon","Silver","2020","parked","7","0","7","","https://www.google.dk/maps/@35.7383023,139.8428318,3a,36.1y,227.24h,77.52t/data=!3m8!1e1!3m6!1sa9F85JSum5BbNWSNFOeM8w!2e0!5s20200301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D12.480996385759397%26panoid%3Da9F85JSum5BbNWSNFOeM8w%26yaw%3D227.23745599132178!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Subaru","Impreza Stinkeye","WRX STi","Blue","2022","parked","6","0","6","","https://www.google.dk/maps/@35.7034542,140.0368445,3a,43.9y,130.02h,75.37t/data=!3m7!1e1!3m5!1strossPWm_ajqHnyusE2Wpw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D14.63040328030705%26panoid%3DtrossPWm_ajqHnyusE2Wpw%26yaw%3D130.01994365360585!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Vintage","240Z","Red","2019","parked","6","0","6","","https://www.google.dk/maps/@35.4899355,139.358497,3a,23.6y,291.98h,80.2t/data=!3m8!1e1!3m6!1sD_S5MsnazJFZxGV1MZV37g!2e0!5s20190501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D9.802795839686652%26panoid%3DD_S5MsnazJFZxGV1MZV37g%26yaw%3D291.9841636259383!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R30","2000 RS-X Turbo","Grey","2018","parked","7","0","7","","https://www.google.dk/maps/@35.4899124,139.3585098,3a,31.1y,208.44h,73.68t/data=!3m8!1e1!3m6!1stBH-n7THA0b-x6E4HeLWkg!2e0!5s20180701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D16.318427440892904%26panoid%3DtBH-n7THA0b-x6E4HeLWkg%26yaw%3D208.4412905702876!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Toyota","Corolla AE86","Trueno","White","2010","parked","6","0","6","","https://www.google.dk/maps/@35.4916145,139.3575492,3a,19.7y,50.59h,83.55t/data=!3m8!1e1!3m6!1sEc2YI_OYSQlpJfZzzXGGlg!2e0!5s20100901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.450458464973309%26panoid%3DEc2YI_OYSQlpJfZzzXGGlg%26yaw%3D50.58679742828577!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Mazda","RX-7 FC3S","Base","Red","2018","parked","4","0","4","","https://www.google.dk/maps/@35.4923142,139.3576067,3a,74y,91.83h,65.05t/data=!3m8!1e1!3m6!1safGfyVRNkH1uKYjFOwcvYQ!2e0!5s20180701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D24.949458421416168%26panoid%3DafGfyVRNkH1uKYjFOwcvYQ%26yaw%3D91.82658077618441!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Toyota","Supra A80","Series II","Red","2019","driving","7","0","7","","https://www.google.dk/maps/@35.3885828,139.4054978,3a,36.7y,140.98h,75.64t/data=!3m8!1e1!3m6!1sd93A7TElONsJCckSuns7Jg!2e0!5s20190101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D14.355427954702819%26panoid%3Dd93A7TElONsJCckSuns7Jg%26yaw%3D140.98068623563174!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R30","2000 RS-X Turbo","White","2019","parked","7","0","7","","https://www.google.dk/maps/@35.3891883,139.4038494,3a,31.6y,21.99h,82.06t/data=!3m8!1e1!3m6!1sBugZyy0AFMMAIefV4K8AYA!2e0!5s20190101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D7.9411506698186685%26panoid%3DBugZyy0AFMMAIefV4K8AYA%26yaw%3D21.98721318133626!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D"
"Subaru","Impreza Hawkeye","WRX STi","Blue","2018","parked","6","0","6","","https://www.google.dk/maps/@35.4322801,139.3959816,3a,28.4y,25.67h,81.25t/data=!3m8!1e1!3m6!1sRgoudQf5vhw4SOThBRsAZA!2e0!5s20180901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.75131385538893%26panoid%3DRgoudQf5vhw4SOThBRsAZA%26yaw%3D25.671267478602406!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxOC4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic FK","FK8 Type R","White","2024","parked","5","0","5","","https://www.google.dk/maps/@35.6728129,139.8942668,3a,15.4y,227.71h,85.01t/data=!3m8!1e1!3m6!1sgxg-R0fv7fCexMP5m3tFnQ!2e0!5s20240901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D4.992159717425409%26panoid%3Dgxg-R0fv7fCexMP5m3tFnQ%26yaw%3D227.70770289422654!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic EG","EG6 SiR","Grey","2010","parked","5","0","5","","https://www.google.dk/maps/@35.3491452,139.5265203,3a,46y,283.37h,75.16t/data=!3m8!1e1!3m6!1sVHgBeovrU0S5d0OyMfOtng!2e0!5s20101001T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D14.836115146356349%26panoid%3DVHgBeovrU0S5d0OyMfOtng%26yaw%3D283.37274923816966!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R30","2000 RS-X Turbo","White","2019","parked","7","0","7","","https://www.google.dk/maps/@35.4219033,139.4524867,3a,15y,160.07h,86.36t/data=!3m8!1e1!3m6!1sI9RPUD2WGWNjefb2xHtLuQ!2e0!5s20190601T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.635820410053128%26panoid%3DI9RPUD2WGWNjefb2xHtLuQ%26yaw%3D160.0672926299493!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
"Nissan","180SX","Type X","Silver","2010","parked","1","3","4","","https://www.google.dk/maps/@35.5581866,139.3696554,3a,55.2y,45.07h,75.55t/data=!3m8!1e1!3m6!1s0nf1eYD_VjUgNv6w6C-W5Q!2e0!5s20100401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D14.45423177542014%26panoid%3D0nf1eYD_VjUgNv6w6C-W5Q%26yaw%3D45.06651008105885!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
"Toyota","JZX100","Mk. II","Red","2020","parked","1","3","4","Full send drift missile","https://www.google.dk/maps/@35.5303548,139.5332209,3a,47.4y,191.24h,74.08t/data=!3m8!1e1!3m6!1st9DLBNOsW9kOoelTizlq4A!2e0!5s20200701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D15.922281797047944%26panoid%3Dt9DLBNOsW9kOoelTizlq4A%26yaw%3D191.2353572813036!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDEyNy4wIKXMDSoASAFQAw%3D%3D"
"Mazda","MX-5","NA","Green","2020","parked","2","3.9","5.9","Heavily modified and clean Miata","https://www.google.dk/maps/@35.6512884,139.3382817,3a,24.6y,187.01h,81.79t/data=!3m8!1e1!3m6!1sYBpUzx1vfewS0Q1lRTwfLQ!2e0!5s20201201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.205968254192825%26panoid%3DYBpUzx1vfewS0Q1lRTwfLQ%26yaw%3D187.0064616619095!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R33","GT-R","Purple","2022","parked","7","0","7","","https://www.google.dk/maps/@35.757213,139.3203929,3a,15.9y,191.37h,84.38t/data=!3m8!1e1!3m6!1sitplsmTS6dOco_l3EAP-nA!2e0!5s20221201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.620020348140642%26panoid%3DitplsmTS6dOco_l3EAP-nA%26yaw%3D191.36552605068673!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
"Subaru","Impreza Blobeye","WRX STi","Blue","2010","parked","6","0","6","","https://www.google.dk/maps/@35.7629799,139.3134471,3a,39.4y,280.85h,70.86t/data=!3m8!1e1!3m6!1s8cjPse7gdqOXvwKOMhymlw!2e0!5s20101201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D19.138056862318606%26panoid%3D8cjPse7gdqOXvwKOMhymlw%26yaw%3D280.8502668695582!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Supra A80","Series I","Black","2017","parked","7","0","7","","https://www.google.dk/maps/@35.7627599,139.3288468,3a,15y,187.7h,86.8t/data=!3m8!1e1!3m6!1sn_HVO-pzVZVO5EotESEnDg!2e0!5s20170501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.1976178595975995%26panoid%3Dn_HVO-pzVZVO5EotESEnDg%26yaw%3D187.69911029038974!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
"Nissan","370Z","Nismo","White","2019","parked","5","0","5","","https://www.google.dk/maps/@35.7627545,139.328826,3a,25.1y,279.26h,81.24t/data=!3m8!1e1!3m6!1sVUoESgN9SHxcTaVgPUfTsQ!2e0!5s20190101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.757054389805305%26panoid%3DVUoESgN9SHxcTaVgPUfTsQ%26yaw%3D279.2600353416974!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic EP","EP3 Type R","White","2015","parked","7","0","7","","https://www.google.dk/maps/@35.6397679,139.358246,3a,53y,113.13h,67.84t/data=!3m8!1e1!3m6!1sHTw-x_b7UehqSjOwpPBzYg!2e0!5s20150301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D22.161166605285842%26panoid%3DHTw-x_b7UehqSjOwpPBzYg%26yaw%3D113.13077957938842!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R32","GT-R","Grey","2019","parked","7","0","7","","https://www.google.dk/maps/@35.671908,139.4727731,3a,15y,165.64h,84.77t/data=!3m8!1e1!3m6!1s3aqnwUSTcgKoBYrxFBwwOA!2e0!5s20190501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.228776310721216%26panoid%3D3aqnwUSTcgKoBYrxFBwwOA%26yaw%3D165.64247044774086!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D"
"Mitsubishi","Lancer Evolution","IX","White","2018","parked","7","0","7","","https://www.google.dk/maps/@35.6713447,139.4928485,3a,31.3y,27.85h,83.02t/data=!3m8!1e1!3m6!1srg2xoTeGyWAEOBF5AU_c4g!2e0!5s20180601T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.981945614064188%26panoid%3Drg2xoTeGyWAEOBF5AU_c4g%26yaw%3D27.8509782637219!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D"
"Combos","Other","Other","White","2009","parked","1","4","5","MR2 and AE86 hanging out","https://www.google.dk/maps/@35.6720354,139.4968945,3a,38.1y,97.57h,86.31t/data=!3m8!1e1!3m6!1syX_yrI5zLS0QbGzhj785cA!2e0!5s20090701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.6873546258847227%26panoid%3DyX_yrI5zLS0QbGzhj785cA%26yaw%3D97.56752085038508!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Corolla AE86","Levin","Black","2014","parked","6","0","6","","https://www.google.dk/maps/@35.6581982,139.3598792,3a,26.6y,261.35h,82.37t/data=!3m8!1e1!3m6!1shVYG8Xdgpy-bNOqX9lP4Kw!2e0!5s20140501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D7.630178245829242%26panoid%3DhVYG8Xdgpy-bNOqX9lP4Kw%26yaw%3D261.3549387930229!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D"
"Mazda","RX-7 FD3S","Base","Red","2015","parked","6","2","8","Heavily modified track spec","https://www.google.dk/maps/@35.6560874,139.3629613,3a,47.9y,103.56h,73t/data=!3m8!1e1!3m6!1sm1mGsunR1w9tHcQfx7cDpw!2e0!5s20150201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D17.0029648144712%26panoid%3Dm1mGsunR1w9tHcQfx7cDpw%26yaw%3D103.5632883630213!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D"
"Mitsubishi","Lancer Evolution","IX Wagon","White","2018","parked","7","0","7","","https://www.google.dk/maps/@35.663942,139.3703569,3a,16.6y,358.17h,84.53t/data=!3m7!1e1!3m5!1s_4UyUjROixqllhtqSt3Vew!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D5.468848799231523%26panoid%3D_4UyUjROixqllhtqSt3Vew%26yaw%3D358.1725964079976!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D"
